Figure 2A  3HdThd 50% + DMSO + Lindane triangles ,,,,,,,Investigator is Bishayee,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008074,6/27/99,B008083,7/8/99,120,115,130,121.67,B008082,7/1/99,,,,
,,B008083,7/8/99,115,107,119,113.67,B008082,7/1/99,,,,
,,B008083,7/8/99,117,107,98,107.33,B008082,7/1/99,609,588,611,602.67
,,B008083,7/8/99,98,77,87,87.33,B008082,7/1/99,652,641,627,640.00
,,B008083,7/8/99,73,80,67,73.33,B008082,7/1/99,666,632,645,647.67
,,B008083,7/8/99,57,73,65,65.00,B008082,7/1/99,612,608,631,617.00
,,B008083,7/8/99,62,55,49,55.33,B008082,7/1/99,745,765,722,744.00
,,B008083,7/8/99,48,54,60,54.00,B008082,7/1/99,644,651,632,642.33
,,B008083,7/8/99,29,38,48,38.33,B008082,7/1/99,702,722,732,718.67
,,B008083,7/8/99,16,27,22,21.67,B008082,7/1/99,650,675,662,662.33
B008064,7/8/99,B008073,7/19/99,130,149,122,133.67,B008072,7/12/99,650,666,646,654.00
,,B008073,7/19/99,142,129,115,128.67,B008072,7/12/99,637,649,622,636.00
,,B008073,7/19/99,114,122,130,122.00,B008072,7/12/99,640,653,660,651.00
,,B008073,7/19/99,98,83,90,90.33,B008072,7/12/99,610,662,635,635.67
,,B008073,7/19/99,76,86,67,76.33,B008072,7/12/99,678,659,665,667.33
,,B008073,7/19/99,63,67,72,67.33,B008072,7/12/99,718,692,707,705.67
,,B008073,7/19/99,47,56,66,56.33,B008072,7/12/99,635,609,611,618.33
,,B008073,7/19/99,47,53,41,47.00,B008072,7/12/99,735,719,726,726.67
,,B008073,7/19/99,32,41,36,36.33,B008072,7/12/99,657,672,659,662.67
,,B008073,7/19/99,128,152,140,140.00,B008072,7/12/99,670,685,678,677.67
B008053,1/31/00,B008063,no date,168,157,149,158.00,B008062,no date,680,667,672,673.00
,,B008063,no date,151,142,138,143.67,B008062,no date,639,621,645,635.00
,,B008063,no date,97,105,115,105.67,B008062,no date,609,617,629,618.33
,,B008063,no date,75,64,84,74.33,B008062,no date,666,675,689,676.67
,,B008063,no date,36,45,52,44.33,B008062,no date,721,742,719,727.33
,,B008063,no date,32,25,40,32.33,B008062,no date,690,710,693,697.67
,,B008063,no date,62,75,89,75.33,B008062,no date,666,650,645,653.67