Figure 2B  3HdThd 10% no additions Circles,,,,,,Investigator is Bishayee,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008042,5/27/99,B008051,6/7/99,111,107,119,112.33,B008050,no date,427,439,450.00,438.67
,,B008051,6/7/99,132,125,115,124.00,B008050,no date,511,527,530.00,522.67
,,B008051,6/7/99,106,120,113,113.00,B008050,no date,411,398,422.00,410.33
,,B008051,6/7/99,96,105,115,105.33,B008050,no date,378,409,415.00,400.67
,,B008051,6/7/99,100,117,84,100.33,B008050,no date,425,440,421.00,428.67
,,B008051,6/7/99,104,93,82,93.00,B008050,no date,471,485,492.00,482.67
,,B008051,6/7/99,86,63,75,74.67,B008050,no date,332,350,371.00,351.00
,,B008051,6/7/99,62,48,50,53.33,B008050,no date,409,419,429.00,419.00
,,B008051,6/7/99,55,62,48,55.00,B008050,no date,452,429,435.00,438.67
,,B008051,6/7/99,47,23,34,34.67,B008050,no date,322,350,342.00,338.00
B008032,6/7/99,B008041,6/18/99,135,149,152,145.33,B008040,6/11/99,569,600,585.00,584.67
,,B008041,6/18/99,125,141,121,129.00,B008040,6/11/99,611,625,635.00,623.67
,,B008041,6/18/99,88,95,102,95.00,B008040,6/11/99,517,532,522.00,523.67
,,B008041,6/18/99,85,96,73,84.67,B008040,6/11/99,485,472,495.00,484.00
,,B008041,6/18/99,32,42,49,41.00,B008040,6/11/99,549,565,572.00,562.00
,,B008041,6/18/99,15,20,25,20.00,B008040,6/11/99,585,595,569.00,583.00
,,B008041,6/18/99,123,130,117,123.33,B008040,6/11/99,476,489,492.00,485.67
,,B008041,6/18/99,89,95,101,95.00,B008040,6/11/99,505,509,522.00,512.00
,,B008041,6/18/99,48,57,67,57.33,B008040,6/11/99,566,542,555.00,554.33
,,B008041,6/18/99,82,92,87,87.00,B008040,6/11/99,562,575,559.00,565.33