Figure 2B  3HdThd 10% +  Lindane squares,,,,,Investigator is Bishayee,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B008020,6/17/99,B008029,6/28/99,149,162,151,154.00,B008028,6/21/99,512,492,507,503.67
,,B008029,6/28/99,140,135,122,132.33,B008028,6/21/99,488,475,497,486.67
,,B008029,6/28/99,131,123,117,123.67,B008028,6/21/99,522,533,511,522.00
,,B008029,6/28/99,103,109,115,109.00,B008028,6/21/99,462,473,485,473.33
,,B008029,6/28/99,105,115,96,105.33,B008028,6/21/99,555,549,535,546.33
,,B008029,6/28/99,96,103,110,103.00,B008028,6/21/99,509,522,512,514.33
,,B008029,6/28/99,111,93,85,96.33,B008028,6/21/99,432,466,449,449.00
,,B008029,6/28/99,69,75,82,75.33,B008028,6/21/99,546,565,539,550.00
,,B008029,6/28/99,45,38,31,38.00,B008028,6/21/99,479,485,465,476.33
,,B008029,6/28/99,23,27,32,27.33,B008028,6/21/99,529,545,561,545.00
B008010,6/24/99,B008019,7/5/99,121,132,145,132.67,B008018,6/28/99,610,635,624,623.00
,,B008019,7/5/99,119,117,111,115.67,B008018,6/28/99,585,592,603,593.33
,,B008019,7/5/99,118,108,99,108.33,B008018,6/28/99,532,549,521,534.00
,,B008019,7/5/99,96,89,83,89.33,B008018,6/28/99,609,622,611,614.00
,,B008019,7/5/99,82,87,77,82.00,B008018,6/28/99,529,545,535,536.33
,,B008019,7/5/99,73,80,67,73.33,B008018,6/28/99,635,611,607,617.67
,,B008019,7/5/99,44,53,35,44.00,B008018,6/28/99,585,572,565,574.00
,,B008019,7/5/99,23,19,15,19.00,B008018,6/28/99,592,575,562,576.33
,,B008019,7/5/99,110,131,120,120.33,B008018,6/28/99,630,655,631,638.67
,,B008019,7/5/99,73,77,82,77.33,B008018,6/28/99,666,673,679,672.67