Figure 2B  3HdThd 10% + DMSO + Lindane triangles ,,,,,,,Investigator is Bishayee,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B007977,7/26/99,B007987,8/6/99,110,107,99,105.33,B007986,7/30/99,610,592,609,603.67
,,B007987,8/6/99,120,115,109,114.67,B007986,7/30/99,558,572,581,570.33
,,B007987,8/6/99,111,103,96,103.33,B007986,7/30/99,532,539,555,542.00
,,B007987,8/6/99,93,100,87,93.33,B007986,7/30/99,559,562,541,554.00
,,B007987,8/6/99,82,90,99,90.33,B007986,7/30/99,571,562,575,569.33
,,B007987,8/6/99,69,88,78,78.33,B007986,7/30/99,523,539,519,527.00
,,B007987,8/6/99,53,59,65,59.00,B007986,7/30/99,499,507,521,509.00
,,B007987,8/6/99,60,54,49,54.33,B007986,7/30/99,537,527,511,525.00
,,B007987,8/6/99,41,48,55,48.00,B007986,7/30/99,567,560,539,555.33
,,B007987,8/6/99,23,24,27,24.67,B007986,7/30/99,507,485,499,497.00
B007967,7/29/99,B007976,8/9/99,130,145,155,143.33,B007975,no date,540,565,562,555.67
,,B007976,8/9/99,129,151,135,138.33,B007975,no date,511,525,533,523.00
,,B007976,8/9/99,125,134,143,134.00,B007975,no date,542,555,532,543.00
,,B007976,8/9/99,124,130,118,124.00,B007975,no date,509,522,531,520.67
,,B007976,8/9/99,109,115,122,115.33,B007975,no date,488,492,499,493.00
,,B007976,8/9/99,92,108,101,100.33,B007975,no date,569,582,569,573.33
,,B007976,8/9/99,51,60,69,60.00,B007975,no date,611,609,619,613.00
,,B007976,8/9/99,49,54,60,54.33,B007975,no date,532,511,529,524.00
,,B007976,8/9/99,39,45,52,45.33,B007975,no date,550,562,542,551.33
,,B007976,8/9/99,115,126,137,126.00,B007975,no date,495,485,502,494.00