Figure 3 ,Intracellular Tritium Activity versus Time,,,,,No colonies,,Investigator Is Bishayee
Start Bates,Start Date,Coulters,Date,COU1,COU2,COU3,Average,
B001558,2/17/00,B001568,no date,4745,4924,4732,4800.33, 
,,B001568,no date,3712,3811,3790,3771.00,
,,B001568,no date,4012,3922,3939,3957.67,
,,B001568,no date,4811,4927,4993,4910.33,
,,B001568,no date,4110,4219,4279,4202.67,
,,B001568,no date,2493,2337,2338,2389.33,
,,B001568,no date,2417,2491,2364,2424.00,
,,B001568,no date,5322,5286,5218,5275.33,
,,B001568,no date,5198,5239,5203,5213.33,
,,B001568,no date,4120,4132,4107,4119.67,
,,B001568,no date,4217,4107,4198,4174.00,
,,B001568,no date,13006,13153,13122,13093.67,
,,B001568,no date,12895,12798,12957,12883.33,
B001583,2/18/00,B001592,no date,3976,3957,3874,3935.67,
,,B001592,no date,3353,3415,3299,3355.67,
,,B001592,no date,3681,3505,3456,3547.33,
,,B001592,no date,4438,4297,4389,4374.67,
,,B001592,no date,5023,5112,4990,5041.67,
,,B001592,no date,1849,1881,1865,1865.00,
,,B001592,no date,1732,1694,1680,1702.00,
,,B001592,no date,4388,4329,4362,4359.67,
,,B001592,no date,3995,4190,4129,4104.67,
,,B001592,no date,8816,8800,8604,8740.00,
,,B001592,no date,9579,9516,9499,9531.33,
,,B001592,no date,16382,16276,16852,16503.33,
,,B001592,no date,13252,13462,13897,13537.00,