Figure 3,100% and 50% 3HdThd,,Investigator is Bishayee,,,,,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average,
B001738,11/30/98,B001747,12/11/98,120,111,99,110.00,B001746,12/4/98,252,262,270,261.33,
100%,,B001747,12/11/98,131,121,117,123.00,B001746,12/4/98,245,221,259,241.67,
open triangles,,B001747,12/11/98,104,114,96,104.67,B001746,12/4/98,276,236,249,253.67,
,,B001747,12/11/98,93,100,86,93.00,B001746,12/4/98,302,279,271,284.00,
,,B001747,12/11/98,70,78,63,70.33,B001746,12/4/98,284,294,291,289.67,
,,B001747,12/11/98,58,68,49,58.33,B001746,12/4/98,404,416,426,415.33,
,,B001747,12/11/98,29,22,19,23.33,B001746,12/4/98,299,295,336,310.00,
,,B001747,12/11/98,104,115,94,104.33,B001746,12/4/98,244,244,231,239.67,
,,B001747,12/11/98,116,126,107,116.33,B001746,12/4/98,231,225,228,228.00,
,,B001747,12/11/98,23,29,18,23.33,B001746,12/4/98,274,288,300,287.33,
B001728,12/17/98,B001737,no date,143,159,138,146.67,B001736,12/21/98,770,793,789,784.00,
100%,,B001737,no date,126,129,141,132.00,B001736,12/21/98,721,756,721,732.67,
closed triangles,,B001737,no date,140,135,129,134.67,B001736,12/21/98,751,777,757,761.67,
,,B001737,no date,132,129,124,128.33,B001736,12/21/98,721,694,690,701.67,
,,B001737,no date,106,113,119,112.67,B001736,12/21/98,743,754,768,755.00,
,,B001737,no date,100,92,85,92.33,B001736,12/21/98,759,766,724,749.67,
,,B001737,no date,50,43,36,43.00,B001736,12/21/98,753,740,713,735.33,
,,B001737,no date,20,17,19,18.67,B001736,12/21/98,750,754,775,759.67,
,,B001737,no date,79,70,62,70.33,B001736,12/21/98,707,687,674,689.33,
,,B001737,no date,49,38,30,39.00,B001736,12/21/98,620,625,620,621.67,
B008243,12/28/98,,,,,,,B008252,1/1/99,518,550,569,545.67,
50%,,B008253,1/8/99,99,89,91,93.00,B008252,1/1/99,482,500,501,494.33,
closed circles,,B008253,1/8/99,80,74,68,74.00,B008252,1/1/99,458,485,510,484.33,
,,B008253,1/8/99,65,71,59,65.00,B008252,1/1/99,541,483,488,504.00,
,,B008253,1/8/99,40,48,57,48.33,B008252,1/1/99,531,525,523,526.33,
,,B008253,1/8/99,39,34,37,36.67,B008252,1/1/99,609,657,652,639.33,
,,B008253,1/8/99,28,26,23,25.67,B008252,1/1/99,506,524,485,505.00,
,,B008253,1/8/99,102,110,92,101.33,B008252,1/1/99,432,440,428,433.33,
,,B008253,1/8/99,33,47,40,40.00,B008252,1/1/99,497,453,507,485.67,
,,B008253,1/8/99,90,84,79,84.33,B008252,1/1/99,453,475,508,478.67,
B008233,1/11/99,B008242,1/22/99,145,139,121,135.00,B008241,1/15/99,488,482,478,482.67,
50%,,B008242,1/22/99,129,119,137,128.33,B008241,1/15/99,510,472,463,481.67,
open circles,,B008242,1/22/99,130,135,124,129.67,B008241,1/15/99,517,505,506,509.33,
,,B008242,1/22/99,125,115,109,116.33,B008241,1/15/99,468,458,455,460.33,
,,B008242,1/22/99,95,101,107,101.00,B008241,1/15/99,528,527,524,526.33,
,,B008242,1/22/99,85,92,78,85.00,B008241,1/15/99,622,648,609,626.33,
,,B008242,1/22/99,59,69,78,68.67,B008241,1/15/99,442,422,432,432.00,
,,B008242,1/22/99,49,58,67,58.00,B008241,1/15/99,467,438,438,447.67,
,,B008242,1/22/99,38,44,33,38.33,B008241,1/15/99,481,452,522,485.00,
,,B008242,1/22/99,100,95,106,100.33,B008241,1/15/99,487,516,482,495.00,