Figure 4 3H2O +/- DMSO,,,,"1st experiment Li, 2nd & 3rd Howell",,,,,,,,,
start Bates,Start Date,Colonies,date,COL1,COL2,COL3,Average,Coulter,date,COU1,COU2,COU3,Average
B014002,8/20/96,B014004,No Date,136,118,105,119.67,B014002,8/20/96,1234,1187,1101,1174.00
,,B014004,No Date,78,96,95,89.67,B014002,8/20/96,1434,1341,1298,1357.67
,,B014004,No Date,68,78,55,67.00,B014002,8/20/96,1061,1054,1080,1065.00
,,B014004,No Date,73,57,53,61.00,B014002,8/20/96,1219,1239,1192,1216.67
,,B014004,No Date,28,37,40,35.00,B014002,8/20/96,1237,1245,1236,1239.33
,,B014004,No Date,182,166,203,183.67,B014002,8/20/96,1179,1132,1128,1146.33
,,B014004,No Date,235,269,249,251.00,B014002,8/20/96,1303,1239,1303,1281.67
,,B014004,No Date,88,95,81,88.00,B014002,8/20/96,1304,1192,1211,1235.67
,,B014004,No Date,56,62,66,61.33,B014002,8/20/96,1166,1182,1121,1156.33
,,B014004,No Date,120,98,,109.00,B014002,8/20/96,1226,1159,1227,1204.00
B014009,1/23/97,B014011,No Date,26,28,14,22.67,B014009,1/23/97,1310,1315,1236,1287.00
,,B014011,No Date,34,40,39,37.67,B014009,1/23/97,1413,1358,1396,1389.00
,,B014011,No Date,71,104,106,93.67,B014009,1/23/97,1215,1230,1285,1243.33
,,B014011,No Date,165,161,169,165.00,B014009,1/23/97,1430,1307,1137,1291.33
,,B014011,No Date,26,23,19,22.67,B014009,1/23/97,1177,1167,1061,1135.00
,,B014011,No Date,46,66,61,57.67,B014009,1/23/97,1583,1591,1405,1526.33
,,B014011,No Date,72,43,46,53.67,B014009,1/23/97,1549,1458,1418,1475.00
,,B014011,No Date,32,35,36,34.33,B014009,1/23/97,1205,1150,1115,1156.67
,,B014011,No Date,65,47,68,60.00,B014009,1/23/97,1344,1239,1148,1243.67
,,B014011,No Date,80,81,78,79.67,B014009,1/23/97,1311,1494,1420,1408.33
B014020,2/6/97,B014022,No Date,127,150,127,134.67,No Coulters,,,,,
,,B014022,No Date,125,110,109,114.67,,,,,,
,,B014022,No Date,110,125,105,113.33,,,,,,
,,B014022,No Date,368,374,334,358.67,,,,,,
,,B014022,No Date,262,282,269,271.00,,,,,,
,,B014022,No Date,148,142,143,144.33,,,,,,
,,B014022,No Date,150,153,152,151.67,,,,,,
,,B014022,No Date,84,82,110,92.00,,,,,,
,,B014022,No Date,161,163,159,161.00,,,,,,
,,B014022,No Date,290,262,294,282.00,,,,,,