Figure 1  125IdU 100% survival versus activity,,,,,,Investigator is Bishayee,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B001419,10/9/00,B001433,10/23/2000,123,152,134,136.33,B001432,10/16/00,478,429,444,450.33
Susepnsion,,B001433,10/23/2000,122,115,129,122.00,B001432,10/16/00,501,519,535,518.33
open symbols,,B001433,10/23/2000,28,22,26,25.33,B001432,10/16/00,418,439,452,436.33
,,B001433,10/23/2000,80,77,78,78.33,B001432,10/16/00,431,422,445,432.67
,,B001433,10/23/2000,12,11,11,11.33,B001432,10/16/00,511,539,517,522.33
,,B001433,10/23/2000,10,12,10,10.67,B001432,10/16/00,488,472,462,474.00
,,B001433,10/23/2000,2,1,0,1.00,B001432,10/16/00,459,463,440,454.00
B001406,10/12/00,B001418,10/23/00,145,129,120,131.33,B001416,10/16/00,541,564,543,549.33
,,B001418,10/23/00,111,132,109,117.33,B001416,10/16/00,493,509,469,490.33
,,B001418,10/23/00,36,37,29,34.00,B001416,10/16/00,523,522,511,518.67
,,B001418,10/23/00,111,122,99,110.67,B001416,10/16/00,555,543,563,553.67
,,B001418,10/23/00,148,154,137,146.33,B001416,10/16/00,509,521,512,514.00
,,B001418,10/23/00,19,22,17,19.33,B001416,10/16/00,623,611,643,625.67
,,B001418,10/23/00,1,2,2,1.67,B001416,10/16/00,598,607,588,597.67
B001419,10/9/00,B001433,10/23/2000,114,109,128,117.00,B001432,10/16/00,535,511,545,530.33
Clusters,,B001433,10/23/2000,107,120,117,114.67,B001432,10/16/00,455,462,471,462.67
closed symbols,,B001433,10/23/2000,30,36,27,31.00,B001432,10/16/00,435,455,469,453.00
,,B001433,10/23/2000,90,82,88,86.67,B001432,10/16/00,501,518,507,508.67
,,B001433,10/23/2000,16,19,21,18.67,B001432,10/16/00,447,467,440,451.33
,,B001433,10/23/2000,9,8,10,9.00,B001432,10/16/00,466,472,444,460.67
,,B001433,10/23/2000,1,2,3,2.00,B001432,10/16/00,503,489,492,494.67
B001406,10/12/00,B001418,10/23/00,155,142,139,145.33,B001416,10/16/00,537,531,520,529.33
,,B001418,10/23/00,128,136,125,129.67,B001416,10/16/00,553,540,532,541.67
,,B001418,10/23/00,20,15,19,18.00,B001416,10/16/00,517,508,521,515.33
,,B001418,10/23/00,70,84,76,76.67,B001416,10/16/00,574,563,559,565.33
,,B001418,10/23/00,88,74,80,80.67,B001416,10/16/00,526,513,520,519.67
,,B001418,10/23/00,10,9,7,8.67,B001416,10/16/00,563,579,588,576.67
,,B001418,10/23/00,1,1,0,0.67,B001416,10/16/00,600,593,588,593.67
,,,,,,,,,,,,,