Figure2  125IdU 10% survival versus activity,,,,,,Investigator is Bishayee,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B001917,10/11/1999,B001926,10/22/99,137,123,145,135.00,B001925,10/15/99,527,509,512,516.00
,,B001926,10/22/99,119,127,131,125.67,B001925,10/15/99,545,562,571,559.33
,,B001926,10/22/99,132,126,121,126.33,B001925,10/15/99,551,563,549,554.33
,,B001926,10/22/99,106,115,124,115.00,B001925,10/15/99,490,485,472,482.33
,,B001926,10/22/99,99,107,116,107.33,B001925,10/15/99,567,579,582,576.00
,,B001926,10/22/99,91,95,100,95.33,B001925,10/15/99,579,561,555,565.00
,,B001926,10/22/99,72,65,59,65.33,B001925,10/15/99,611,592,589,597.33
,,B001926,10/22/99,32,49,60,47.00,B001925,10/15/99,542,562,559,554.33
,,B001926,10/22/99,24,30,19,24.33,B001925,10/15/99,499,522,535,518.67
,,B001926,10/22/99,91,99,84,91.33,B001925,10/15/99,572,559,563,564.67
B001909,6/19/2000,B001916,6/30/00,110,109,117,112.00,B001915,no date,568,588,571,575.67
,,B001916,6/30/00,97,115,121,111.00,B001915,no date,579,593,569,580.33
,,B001916,6/30/00,110,100,90,100.00,B001915,no date,592,575,561,576.00
,,B001916,6/30/00,82,87,78,82.33,B001915,no date,531,511,520,520.67
,,B001916,6/30/00,59,77,68,68.00,B001915,no date,576,556,587,573.00
,,B001916,6/30/00,67,58,49,58.00,B001915,no date,566,589,572,575.67
,,B001916,6/30/00,41,50,33,41.33,B001915,no date,609,632,621,620.67
,,B001916,6/30/00,67,78,54,66.33,B001915,no date,545,519,562,542.00
,,B001916,6/30/00,20,28,39,29.00,B001915,no date,575,559,561,565.00
,,B001916,6/30/00,17,26,12,18.33,B001915,no date,615,589,602,602.00
B001897,8/3/2000,B001907,8/14/00,151,142,138,143.67,B001906,8/7/99,649,666,672,662.33
,,B001907,8/14/00,117,129,137,127.67,B001906,8/7/99,633,642,655,643.33
,,B001907,8/14/00,63,90,76,76.33,B001906,8/7/99,661,649,657,655.67
,,B001907,8/14/00,58,60,71,63.00,B001906,8/7/99,671,689,666,675.33
,,B001907,8/14/00,95,107,87,96.33,B001906,8/7/99,639,659,642,646.67
,,B001907,8/14/00,17,26,37,26.67,B001906,8/7/99,622,619,601,614.00
,,B001907,8/14/00,48,54,60,54.00,B001906,8/7/99,688,671,659,672.67
B001887,8/7/2000,B001896,8/18/00,123,137,141,133.67,B001895,8/11/00,532,547,561,546.67
,,B001896,8/18/00,111,119,126,118.67,B001895,8/11/00,517,509,528,518.00
,,B001896,8/18/00,92,82,74,82.67,B001895,8/11/00,581,599,572,584.00
,,B001896,8/18/00,83,73,62,72.67,B001895,8/11/00,549,567,550,555.33
,,B001896,8/18/00,69,76,82,75.67,B001895,8/11/00,489,499,513,500.33
,,B001896,8/18/00,70,63,57,63.33,B001895,8/11/00,533,561,547,547.00
,,B001896,8/18/00,24,30,19,24.33,B001895,8/11/00,561,574,539,558.00