Figure2  125IdU 100% survival versus activity,,,,,,Investigator is Bishayee,,,,,,,
Start Bates,Start Date,Colonies,Date,COL1,COL2,COL3,Average,Coulters,Date,COU1,COU2,COU3,Average
B001455,8/26/99,B001465,9/6/99,160,151,142,151.00,B001464,no date,750,731,722,734.33
,,B001465,9/6/99,135,149,129,137.67,B001464,no date,692,685,699,692.00
,,B001465,9/6/99,137,127,117,127.00,B001464,no date,645,635,619,633.00
,,B001465,9/6/99,,,,,B001464,no date,657,666,661,661.33
,,B001465,9/6/99,69,81,92,80.67,B001464,no date,688,671,657,672.00
,,B001465,9/6/99,46,35,55,45.33,B001464,no date,712,729,730,723.67
,,B001465,9/6/99,147,159,168,158.00,B001464,no date,736,772,762,756.67
,,B001465,9/6/99,22,29,36,29.00,B001464,no date,690,717,709,705.33
,,B001465,9/6/99,39,44,49,44.00,B001464,no date,733,745,759,745.67
,,B001465,9/6/99,11,9,7,9.00,B001464,no date,769,751,749,756.33
B001445,8/30/99,B00154,9/10/99,159,167,147,157.67,B001453,no date,652,673,669,664.67
,,B00154,9/10/99,129,140,137,135.33,B001453,no date,701,685,711,699.00
,,B00154,9/10/99,125,132,140,132.33,B001453,no date,623,639,644,635.33
,,B00154,9/10/99,95,102,110,102.33,B001453,no date,645,666,653,654.67
,,B00154,9/10/99,40,47,54,47.00,B001453,no date,629,642,647,639.33
,,B00154,9/10/99,23,28,33,28.00,B001453,no date,602,613,629,614.67
,,B00154,9/10/99,79,88,98,88.33,B001453,no date,677,652,669,666.00
,,B00154,9/10/99,37,52,33,40.67,B001453,no date,712,701,719,710.67
,,B00154,9/10/99,7,9,11,9.00,B001453,no date,698,687,679,688.00
,,B00154,9/10/99,3,4,5,4.00,B001453,no date,735,719,709,721.00
B001435,6/12/00,B001444,6/23/00,172,162,159,164.33,B001443,6/19/00,592,569,575,578.67
,,B001444,6/23/00,153,160,149,154.00,B001443,6/19/00,601,623,617,613.67
,,B001444,6/23/00,146,157,138,147.00,B001443,6/19/00,509,523,535,522.33
,,B001444,6/23/00,125,110,97,110.67,B001443,6/19/00,542,567,572,560.33
,,B001444,6/23/00,65,60,72,65.67,B001443,6/19/00,511,532,542,528.33
,,B001444,6/23/00,30,52,41,41.00,B001443,6/19/00,635,652,666,651.00
,,B001444,6/23/00,12,16,25,17.67,B001443,6/19/00,562,589,555,568.67
,,B001444,6/23/00,21,27,18,22.00,B001443,6/19/00,611,589,598,599.33
,,B001444,6/23/00,3,4,3,3.33,B001443,6/19/00,581,592,571,581.33
,,B001444,6/23/00,2,2,1,1.67,B001443,6/19/00,610,639,621,623.33
B001375,7/31/00,B001384,8/11/00,132,125,118,125.00,B001383,8/4/00,535,549,562,548.67
,,B001384,8/11/00,117,109,115,113.67,B001383,8/4/00,502,519,535,518.67
,,B001384,8/11/00,67,77,58,67.33,B001383,8/4/00,435,475,462,457.33
,,B001384,8/11/00,30,36,24,30.00,B001383,8/4/00,544,565,575,561.33
,,B001384,8/11/00,18,21,23,20.67,B001383,8/4/00,517,529,545,530.33
,,B001384,8/11/00,95,107,87,96.33,B001383,8/4/00,498,475,525,499.33
,,B001384,8/11/00,13,15,18,15.33,B001383,8/4/00,479,509,513,500.33
B001359,10/2/2000,B001374,10/13/00,131,112,109,117.33,B001373,10/6/00,532,545,563,546.67
,,B001374,10/13/00,107,102,119,109.33,B001373,10/6/00,637,659,629,641.67
,,B001374,10/13/00,27,33,40,33.33,B001373,10/6/00,581,561,549,563.67
,,B001374,10/13/00,80,86,73,79.67,B001373,10/6/00,566,593,573,577.33
,,B001374,10/13/00,23,30,19,24.00,B001373,10/6/00,609,623,633,621.67
,,B001374,10/13/00,8,7,9,8.00,B001373,10/6/00,513,500,529,514.00
,,B001374,10/13/00,1,2,3,2.00,B001357,10/6/00,600,647,636,627.67
B001346,10/5/00,B001358,10/16/00,116,132,109,119.00,B001357,10/9/00,601,572,633,602.00
,,B001358,10/16/00,156,129,139,141.33,B001357,10/9/00,511,529,541,527.00
,,B001358,10/16/00,31,38,35,34.67,B001357,10/9/00,532,555,562,549.67
,,B001358,10/16/00,109,111,99,106.33,B001357,10/9/00,513,549,562,541.33
,,B001358,10/16/00,19,28,22,23.00,B001357,10/9/00,562,539,547,549.33
,,B001358,10/16/00,12,17,15,14.67,B001357,10/9/00,560,542,522,541.33
,,B001358,10/16/00,1,4,3,2.67,B001357,10/9/00,680,669,371,573.33